,result
6945,"['140 cm', '120 cm']"
6946,"['Voltage:', '100-240VAC', 'Cap type:', '112mm/4.411in', 'B22', 'Rated Power:', '15W', 'SAUGLAE', 'Color Temperature:', '6000K', '41mm/1.61in']"
6947,"['50mm', 'LEG DIAMETER', '60mm']"
6948,"['1040mm', '52mm', '49mm', '12mm', '200mm', 'Klighten IP65 Long Wall Light for Outdoor/Indoor', 'CRI', '82', 'Lumen', '1750LM', 'Power', '28W', 'Voltage', '100-240V', 'Material', 'Aluminum', 'Number of LED', '96', 'Color temperature', '3000K', 'Power supply', 'Mains power']"
6949,"['11.3 in', '4.2 in', '11.8 in', '11.8 in', 'BULB TYPE', 'Bulb Not Included)', 'Compatible with', 'E26 Socket', '60W', 'MAX Wattage', 'DIMMABLE', 'dimmer switch']"
6950,"['CELLBELL', 'JAURUS', 'A-49cm', 'E-102-115cm', 'Height Sustainability-5.2Ft-6Ft', 'B-66cm', 'F-58cm', 'Weight Sustainability-105 kgs', 'C-48-60cm', 'G-65cm', 'D-69cm', 'B', 'G']"
6951,"['1 Pcak 1o0% organic bamboo fiber crib sheet', 'Sheet size:.', '(52""X25""X8"")', 'Suitable for most crib', '52inch', '8inch', '28inch']"
6952,"['POWERFUL&EFFICIENT', 'RIDING', 'SYSTEM', '500W', '21MPH', 'ZASPEED', 'DIRCT DRIVE GEAREDMOTOR', 'TOPSPEED', 'SHIMANIO GEARING']"
6953,"['DUKE CANNON', 'SUPPLYCO.', 'SOLID COLOGNE', 'CONCENTRATEO COLOGNE BALM', 'SCENT', 'FOR THE TRAVELING MAN', 'Redweea', 'MADE INUSA 1.50Z']"
6954,"['2.4in', '25in', '22.4in', '84', 'HAOOIZR', '11in']"
6955,"['T', 'hames', 'ORGANIC', 'ORGANIC', 'GOJIBERRIES', '250ge', 'PREMIUM', 'QUALITY', 'GBORG05', 'EU/non-EU Agriculture']"
6956,"['wild e.', 'organic', 'SMART', 'CONSUMPTION', '98%', 'of absorption', 'in 2-5 minutes', 'wild e.', 'PREMIUM', 'organic', 'QUALITY', 'Maximize absorption', 'LIQUID DROPS', 'with liquid, surpassing', 'ASHWAGANDHA', 'capsules or pills.', 'Vegan', 'Alcohol-free', '2floz', 'Dietary supplement', 'Liquid', 'Capsules', 'Pills']"
6957,"['?', 'GDSTIME', 'BRUSHLESS EC FAN', 'Model:GEB9733', 'P/N:GEB9733B35N30', 'AC:80-240V', 'MADE IN CHINA', 'C E FC YKRoHs', 'CO.']"
6958,"['SKINCEUTICAL', 'HYDRATING B5', 'MOISTURE-ENHAN', 'GEL ENCH', 'WITHVITAMIN', 'MOISTURIZE', 'et30/1', '6111757', 'CLARINS', 'W', 'TERN""', '1.7Oz.Net Wt.']"
6959,"['Width---3.2"" inche', 'Height--2.7"" inche', 'Base---1.7""inche']"
6960,"['dr.kellyann', 'BONE', 'BROTH', 'CLASSIC CHICKEN', 'LOW SODIUM', '15G', 'KETO/PALEO', '5.5G', 'PROTEIN', 'FRIENDLY', 'COLLAGEN', 'Made from', 'Slow-Simmered Chicken Bones', '16.9FLOZ1PTO.9OZ500 ML']"
6961,"['B ca.22cm', 'G', 'BiO', ' nach', 'EG-Oko-Verordnung', 'Creano', 'SELECTION', 'H', 'ca. 25,5cm', 'Bio', 'Krautertee', 'Organic', 'Herbal Tea', '45 Teebeutel45 tea bags', 'BiO', 'ca. 3,1cm']"
6962,"['6.8cm/2.67""', '15cm/5.9""', '23.4cm/9.21""']"
6963,"['Product Dimensions', '198cm', '95cm', 'B0cm', '33cm', '155cm', '97cm', '26cm', '91cm', '191cm', '22cm', 'Material', 'Recommended Mattress', 'Weight Capacity', 'Metal Frame,MDF', '190cm L x 90 cm W', '150 kg Per Bed']"
6964,"['CAT AUTO', 'SENSOR LIGHT', 'Item:Motion Sensor Light', 'Model:K610', 'Light Life:10000 hours', 'Rated Current: 60mA', 'Maximum Power:1.5w', 'Battery Capacity:600mAh', 'Led Light Size:79*33mm', 'Weight:70g*2', 'FCCERHS', 'Made in China']"
6965,"['Congratulations!', 'Folded Size 8.5""x 11""']"
6966,"['PREMIUM COLLAGEN', 'WITH', 'HYALURONIC ACID', 'Supplement Facts', 'Serving Size: 2 Scoops (20g)', '90', 'MG', 'Servings Per Container: 28', 'HYALURONIC', 'Amount Per Serving', '%DV', 'ACID', 'Calories', '80', '20', 'Protein', '18 g', 'C', 'Biotin', '30 mcg', '100%', 'Sodium', '75 mg', '3%', 'BOVINE', 'COLLAGEN', 'Hyaluronic Acid (from Sodium Hyaluronate)', '90 mg', '**', 'PEPTIDES', 'Collagen Peptides (from Bovine)', '20 g', '**', '**Daily Value (DV) not established', 'Other Ingredients: Dicalcium Phosphate', 'MULTI', 'V3R1', 'BENEFIT', 'OUR PROMISE TO YOU!', 'THIS PRODUCT IS ALWAYS...', 'BEAUTY', 'GMOFREE', 'NATURA', 'BLEND', 'GMP', 'GMO FREE', 'TESTED']"
6967,"['28cm/11in', '22cm/8.5in']"
6968,"['46cm/18inches', '6cm/2.4inches', 'A', '25cm/10inches', '25cm/10inches', 'Max Capacity :', '330lbs', 'Product weight :', '1.25kg/2.8lbs', 'Diameter:25cm/10inches', 'Pack Size :', 'Heiqht:6cm/2.4inches', 'Diameter:25cm/10inches', 'Fully Open Size :', 'Height:46cm/18inches', 'Height Range :', '6 to46cm/2.4-18inches', 'Open and Close Time', 'In seconds', 'Mechanism:', 'Unique locking clasp/buckle', 'Closing Method:', 'Rotate counter-clockwise', 'Material:', 'High strength PA66']"
6969,"['18cm/7.08in', '91cm/35.82in']"
6970,"['3 ADJUSTABLE WIND SPEED', 'Removable Power Source 40oomAh', 'Low:Voltage is 6V(2000rpm)', 'High:Voltage is 12V(3300rpm)']"
6971,"['Fast Charing & Fast', 'Speed Transfer', 'Up to 60W', 'USB2.0', '480Mbps']"
6972,"['1.1in/3cm', '3.4in/8.8cm']"
6973,"['PRODUCT SIZE', '2.6cm', '10.6cm', '17.5cm']"
6974,"['3X iPhone Fast Charger', 'The USB c to lightning cable can charge your iPhone 13', 'from 0% to 70% just in30 mins', '30', 'Charging Comparison', 'min', '100%', '90%', '80%', '70%', '70%', '60%', '50%', '40%', 'PD', '30%', '20%', '20%', '10%', '0%', '10', '20', '50', '6070 min', '20W PD 3.0 FAST Charger', 'Regular 5W Charger']"
6975,"['Ir preoarato per brodo', 'INFORMAZIONI NUTRIZIONALI MEDIE', 'adutammato monosodico', 'DURCHSCHNITTLICHE NAHRWERTE', 'ine uello che piace a', 'per 100 g', 'per Porzione4g', 'e con cura le migliori', 'je 100g', 'je Portion (4g', 'aungei oreziosi estratti', 'ENERGIA/ENERGIE', '745kJ', '30 kJ', 'ea bassa temperatura', '177 kcal', '7 kcal', '4', 'soe.Vegetalbrodo si', '0,3g', 'GRASSI/FETT', '7,0g', 'e una tazza di brodo', 'di cui acidi grassi saturi', '1g', '0,04g', 'davon gesattitge fettsauren', 'CARBOIDRATI/KOHLENHYDRATE', '16 g', '0,6g', 'di cui zuccheri', 'SENZA GLUTINE', 'davon zucker', '3,3g', '0,1g', 'FIBRE/BALLASTSTOFFE', '2,1g', '0,08g', 'oteine', 'PROTEINE/EIWEIB', '11 g', 'SALE /SALZ', '54 g', '2,2g diRiferimento', '10DI0/JOD', '1311g 874%VNR52g (35%VNRR.Nanstegsge', 'i soiae di mais verdure', 'a duso per ottenere', 'aulare Vegetale puo', ' osto el sale per', 'o.Anche in frigo', '6-38121rento-ITALY', '0215CiictN.1344', '200 g e']"
6976,"['Enjoy Your Home Theater.', 'Support up to FULL HD 1080P video resolution']"
6977,"['THOU', 'ADULT DOG', 'MINI', 'PUMPKIN', 'FORMULA', 'lamb, pumpkin', 'and blueberry recipe', 'lammfleisch,kurbis', 'und heidelbeere rezept', 'ricetta agnello, zucca', 'e mirtillo', 'recette agneau, potiron', 'et myrtille', '7kge', 'Net Wt.15.4lb', 'ADULT', 'HSENE HUNDE', 'POUR CHIENS ADULTES', 'Farmina', 'MINI', 'Pet Foods']"
6978,"['FRESH', 'YUMMy', 'CRISPY', 'PM', 'BANANA', 'BANANA', 'CHIPS', 'CHIPS', 'CLASSICSALTED', 'Fresh Bananas finely sliced,', 'fried&seasoned with salt', 'SALTED', 'ARTIFICIAL COLOURS', '100%', 'PREMIUM', 'QUALITY', 'NET QUANTITYS', '400g']"
6979,"['Compact & Durable LED Floodlight', 'Energy-saving', 'A', 'Impact-Resistant Tempered Glass', 'Super-Bright LEDs', 'Nickel Plated', 'Screws', '20W', '1P66', 'ALU', 'Metal Bracket', 'Die-Cast Aluminum Frame', 'Not easy to break']"
6980,"['For PAN.DMW-BLC12 7.2V1500mAh', 'Lithium ion BATTERY PACK', 'Do not crush,puncture,incinerate,', 'Do not dispose in fire or expose to excess heat', 'Do not connect improperly.', 'Caution:', 'CE', 'or short circuit external contacts.', 'POWERTRUST', 'POWERTRUST', 'Lithium ion BATTERYPACK', 'For PAN.DMW-BLC12 7.2V1500mAh', 'Caution:', 'Made in China', 'Do not connect improperly', 'Do not dispose in fire orexpose toexcess heat', 'or short circuit externalcontacts', 'CE', 'Made in China']"
6981,"['NOURISY', 'FOND', '-', 'ORGA', 'BO', 'ORGANIC', 'ORGANIC GRASS-FED BEEF', 'ER-CAYEN', 'PEPPES-LERS', 'S-FED BEEF', 'BONI', 'BONE BROTH', 'ROTH', 'L02414L']"
6982,"['12 styles of bookmarks', 'hello!', '15cm', '14cm', '24pcs', '24pcs', '30cm']"
6983,"['Helps In', 'Liver Detoxification', 'Good in diabties', 'Purify Liver & Body', '416H', '8L000', 'SU6AR', 'Helps In Overal', 'Health']"
6984,"['300cm', '248cm', '248cm', '16cm', '51cm']"
6985,"['30""', '30', '14.57""']"
6986,"['Sely', '4.72inch', '4.72inch']"
6987,"['500', 'Weight', '2-year', '2YEARS', 'Ibs', 'Capacity', 'warranty', 'ARRAN', 'Camping', '26.8""', '75.2""', '11.8""', 'Poolside', '26.8""', '30.7""', 'Courtyard']"
6988,"['Super Strong', 'Adhesive No Drilling.', '40', 'Stronger Load-bearing Capacity,Up to 40LBS', 'LBS', 'Without Fearing of Falling Off.']"
6989,"['Cproffisy', 'proffisy', 'R', 'Cpromsy', 'PREMIUM TONERCARTRIDGE', 'Smiles continue to the last momen', 'prorrsys', 'Premium Toner Powder', 'n Toner Powder Fo', 'HP 12A', 'Q2612A/FX9/CRG303', 'HP 12A', 'Use for Canon Print M', 'odes:FX-9/L8P2900/3000']"
6990,"['Oversized Ice Pack Cover More Areas', '54cm(21.3in)', '33cm(13in)', 'Comfpack', '80cm(31.5in)', '60cm (23.6in)']"
6991,"['Robust und nicht leicht zu brechen', 'Starke Tragfahigkeit, halt 5kg', 'SICHERHEITSSCHUTZ', 'Mit weichem Gummi an der Spitze der Metallhaken', 'Notiz:', 'Bitte achten Sie auf die Breite', 'des Bettgitters, es ist nicht', 'fur alle Betttypen geeignet', 'X']"
6992,"['PRODUCT PARAMETERS', 'material quality: Metal+Wood Crafts', 'LIGHT SOURCE: G9--Max25W*6', 'technology: Baking varnish', 'COLOUR: Make old colors', '30cm/11.8in', '55cm/21.7in']"
6993,"['arditex', '30 cm', '33,5 cm', '35,5 cm', '20 KG']"
6994,"['Product Size', 'Backto School', 'Here are two necklaces', 'One Big and one Smal', 'to wear to school', 'Serting this f', '0.23in', ' wcar the Big on', 'The Smll one isyours.', 'So you willhinkf me too', 'Wear it to school', 'While you work and play', 'My hear will be with you', 'throughout the day!.', 'Chain length:17.71+2.75in', 'Weight:10g']"
6995,"['Panasonic', 'Panasonic', 'LED', 'Bright e Energy Saving', 'Kiglo Omni', 'LED Bulb', '15W', 'Surge', 'Protection', '2.5 kV', 'Panasonic', 'YEAR', 'Panasonic', 'WARRANTY', 'Cool Day', '1380lm', 'LIFE 25000* BH']"
6996,"['8665', 'syndsuf', '8C65', '8665', 'B665', 'syndsuf', 'syndsuf', 'BG65', 'BGo5']"
6997,"['Weight Holding', 'PATIOFY', 'Capacity', 'COMFORT AT YOUR DOOR STEP', '200', 'KG', 'Full Height', '152.40 Cm/ 60', 'Inches', 'Back Support', 'Height', '61 Cm/', '24 Inches', 'Sitting Space', '18x18 Inches', 'Breadth', '46 Cm/18 Inches']"
6998,"['Nahrwertangaben /Valeurs nutritionelles', 'pro 100 ml zuber.Suppe', 'par 100 ml de produit prepare', 'Energie/Energie', '200kJ', '50 kcal', 'Fett/Graisses', '3,0g', 'davon gesattigte Fettsauren / dont acides gras satures', '2,0g', 'Kohlenhydrate/Glucides', '4,0g', 'davon Zucker/ dont sucres', '0,5g', 'Ballaststoffe / Fibres alimentaires', '0,6g', 'Eiweiss/Proteines', '0,8g', 'Salz/Sel', '0,85g']"
6999,"['30CM/11.81Inch', 'Flexible function design, not easy to be broken']"
7000,"['35 cm', '14 inch', 'Chain Size:', '18""46cm) Weight:64g', '46cm', '18inch', '2051cm) Weight:71g', '22""55cm Weight:78g', '24""61cm)Weight:85g', '51cm', '20 inch', '26""(66cm) Weight:92g', '55cm', '22 inch', '28""71cm) Weight:99g', '30""76cmWeight:100g', '61cm', '24 inch', '66 cm', '26 inch', '71 cm', '28 inch', '76cm', '30 inch', '81cm', '32 inch', 'High Quality Black Gun Plated', 'Man height:180cm(6\'2"")', 'Base Material:', '316LStainless Steel', 'Chain', 'Chain Width:', '8mm(0.32nch)', 'Size Chart']"
7001,"['12W', 'Light color: monochrome', 'Light source plate thickness:', 'white light', '0.6', 'Number of lamp beads:', '24']"
7002,"['DINGO', 'SANDBAGS', '10kg', '12.5kg', '15kg', '221b', '281b', '331b']"
7003,"['MIT FRISCHESIEGEL IM DECKEL', 'Durchschnittlicher Gehalt/', 'pro Tagesportion', '%NRV*', 'Average content', '30 ml/per daily', 'pro/per30ml', 'serving 30 ml)', 'Vitamin B6', '2,8 mg', '200%', 'Magnesium', '300 mg', '80%', '15mg', '150%', 'FUR DEINEN', '*Nahrstoffbezugswerte gemaB Lebensmittelinformationsverordnung', '*Percent of Nutrient Reference Values', 'KRAFTSPORT', 'Durchschnittliche Nahrwerte/', 'pro/per', 'pro/per', 'Average nutritional values', '100 ml', '30ml', 'Energie/Energy', '237kJ/55 kcal', '71 kJ/17 kcal', 'Fett/Fat', '<0,5g', '<0,5g', 'davon gesattigte Fettsauren/', '<0,1g', '<0,1g', 'of wich saturates', 'Kohlenhydrate/Carbohydrates', '7,5g', '2,2g', 'davon Zucker/of wich sugars', '7,1g', '2,1g', 'Eiweils/Protein', '<0,5g', '<0,5g', 'Salz /Salt', '0,03 g', '<0,01g', 'OPTIMALNACH', 'Vor direkter Sonneneinstrahlung schutzen und bei Raum-', 'DEM TRAINING', 'temperatur(15-25 C) lagern./Protect against direct sun', 'light and store at room temperature (15-25 C)', 'Ungeoffnet mindestens haltbar bis Ende:/L.:siehe Ver', 'schlusskappe/Unopened best before end of:/L:see cap', 'Einmal geoffnete Flasche verschlossen im Kuhlschrank', 'lagern und innerhalb von 6 Wochen aufbrauchen./', 'Once opened store the re-closed bottle in the fridge and', 'use it within 6 weeks.', 'Geoffnet am/Date of opening', 'ZINK TRAGTDAZU', 'BEI, DIE ZELLEN VOR', 'OXIDATIVEMSTRESS', 'Nahrungserganzungsmittel mit Magnesium,Zink und', 'Vitamin B6.Mit Zucker und SuBungsmittel.', 'ZUSCHUTZEN', 'Food supplement with magnesium,zinc and vitamin', 'B6.With sugar und sweetener.', 'Inhalt/Contents', '1000 ml (= 33 Portionen/servings)']"
7004,"['12', 'WATT']"
7005,"[' Produktdatenblatt', 'DELEGIERTE VERORDNUNG (EU) 2019/2015 DER KOMMISSION zu', 'HRB9417, DE', 'Art der Lichtquelle', 'NDLS', 'zte Lichtque', 'die N', 'le(CLS):', 'Lichtque', 'lei', 'e', 'Kegel (90bezieh', 'ur CLS in W, a', 'Breite', 'gf.c', '0,440', 'Seite 3/ 3']"
7006,"['78-102mm', '36mm', '3000k', '4000k', '4500k', '5000k', '6500k', '108mm', '!i!', '7W', '600LM', '5CCT', 'Dimmable', 'IP54', '(3000K/3500K/4500K/5500K/6500K)']"
7007,"['21cm / 210mm', '4.8cm / 48mm']"
7008,"['Easy To Install', 'E26 Base Bulb', 'MAX 60W/Light', '110-120V', 'Anti-rust', 'Not Included']"
7009,"['9:56', '100% Charged', '10w Universal Wireless Charging', 'Easily charge any Qi-enabled device including your phone', 'smart watch, wireless earbuds, and more']"
7010,"['Built', '2000', 'mah battery', '8-10 hours usage time.', 'Eowote', '16 colors with 6-step Dimming Model', '3w LED', 'LED Buld', 'USB charging', 'Stepless dimming', '2500 HRS+Battery powered', 'Eowote', '3-WayDimmable', 'Remote control', 'Tonch control']"
7011,['4.8 in/12.2cm']
7012,"['78.5cm', '/30.9inch', '96cm/37.8inch']"
7013,"['SKIN FRIENDLY', 'EXTRA ABSORBENT', 'AND QUICKDRYING', '16""', 'DOUBLENEEDLE', '16"" WIDTH', 'STITCHED', '30"" HEIGHT', '550GSM', '100% COTTON', '(HIGH QUALITY TOWELS)', 'BCI', 'OEKO-TEX ', 'Better', 'Cotton', 'STANDARD 100', 'PREMIUM QUALITY', 'PACK OF 6', 'Initiative', 'Tested for harmful substances']"
7014,"['153/4""', '24""', '13""']"
7015,"['WHiMZEES', 'WHiMTEES', 'WELLNESS', 'WELINESS', 'Month', ""Daily Dental Treat's"", 'Supply', 'Daily DentalTreats', 'MADE WITH ALL-NATURAL INGREDIENTS', 'NETWT4506', 'FORDOGS', '30', 'Reouces', 'TREATS']"
7016,"['Supplement Facts', 'ving', 'Scoop (17.8 g)', 'r.30', 'oride', 'dium gluconate']"
7017,"['inch', '1.10 inch', '0.28 inch', 'Weight:0.018 1b', '0.83 inch ']"
7018,"['HAND-POURED IN SNOHOMISH,WA.', ""It's Already"", 'Been A Day', 'MAL!', 'Infused With', 'Breakfast wine', 'Net Wt: 9oz 45 Hour Burn Ti.me', 'Cotton Wick 100% Organic Soy', '.']"
7019,"['200', 'KG', 'Suitable For Indoor', '&Outdoor']"
7020,"['4-3/5""', ""Adjustable Chain 59'"", '4-3/5""', '2', '5', '6-1/3""', '17-1/3""', 'Bulb type:B', 'UL Listed:Yes', 'Bulb needed:4x60w Max(not included)', 'Hardware:included', 'weight:6.6 Ibs', 'Material:Iron+linen shade', 'Slope canopy: Yes', 'Dimmable:Yes']"
7021,"['HIMALAYAN', 'Pink Salt', 'Our Pink Himalayan Salt is mnc', 'SCENTED', 'andsano', 'other colorsar', 'siltottheva', 'CANDLES', '-SoyWax', '12.5oz355g', 'OATMEAL', 'SOAP', 'Moisturizing', 'NatualSoa']"
7022,"['DEESPAEK', 'LiFePO4', '12V100Ah', 'Lithium Iron Phosphate Deep Cycle Battery', 'EFC']"
7023,"['3 PACK', 'trace', 'trace', 'trace', 'minerals', 'minerals', 'minerals', 'ConcenTrace', 'ConcenTrace', 'ConcenTrace', 'Trace', 'Trace', 'Trace', 'Mineral', 'Mineral', 'Mineral', 'Drops', 'Drops', 'Drops', 'Powerful. all natural', 'Powerful. all natura', 'Powerful. all natural', 'pH-balancing trace minerols', 'pH-balancing trace minerals', ""pH-balancing trace minerals'"", 'Low sodium-lonic -Soluble', 'Low sodium-lonic-Soluble', 'Low sodium-lonic -Soluble', '96-day supply', '-96-day supply', '- 96-day supply', 'DIETARY SUPPLEMENT', 'DIETARY SUPPLEMENT', 'DIETARY SUPPLEMENT', '8 fl.oz.(237 mL)', '8 fl.oz.(237 mL)', '8 fl. oz.(237 mL)']"
7024,"[""Best'Botanic"", 'Root', 'Dioscorea villosa', '1 oz.cxlract (30 ml.)']"
7025,"['20000RPM', '50mmX0.8X6.35', '20000RPM', 'HSS', '44mmX0.8X6.35', 'HSS', '20000RPM', '20000RPM', '35mmX0.8X6.35', 'HSS', '32mmX0.7X6.35', 'HSS', '20000RPM', '7X6', '20000RPM', 'nX0.7X6', 'HSS', '20C00RPM', 'HSS50mmxv.8x6.35']"
7026,"['Macedonia de verduras.', 'Categoria Primera.', 'Ingredientes: hortalizas en', 'proporcion variable (65,7%) (patatas,', 'zanahorias, guisantes, judia verde)', 'agua, sal. Conservar en lugar fresco', 'y seco, protegido de la luz solar..', 'Una vez abierto, mantener en', 'refrigeracion y consumir en los 2 dias', 'siguientes. Consumir preferente-', 'mente antes del: / Lote: ver tapa.', 'sobre producto escurrido por 100g:', 'Valor energetico:', '132kJ/31 kcal', 'Grasas:', ' de las cuales saturadas:', 'Hidratos de rarbono:', ' de los cuales azucares:', 'Proteinas:', '1,4g', 'Sal:', '0,55 g', 'jDieta variada,equiibrada y ejercicio', 'Peso neto:', 'Peso neto escurrido:', '535g 325g', '580']"
7027,"['4.1cm/1.6in', '21cm/8.3in', '6.5cm/2.6in', '18cm/7.1in']"
7028,"['6.9 in/17.5cm', 'FIND', 'YOUR', 'WILD', '5.5in/14 cm']"
7029,"['Bedienelemente der Schalt-ARtoren.', 'Control elements of the switching actuators', 'Works with', 'Zigbee', '3.0', 'iluminize', 'iluminize GmbH', 'Hellenthalstr.3', 'D-47661 Issum', 'www.iluminize.com', 'ce', 'Prog', 'IP20', 'N', '200W', '400W', '8', '230V', 'tc 75C', 'Programm-Taste', 'Indikator-LED', '8', 'N', 'N', 'Program button', 'LED indicator', '1x', 'Licht ein-/aus - light on/off', '5x', 'Reset', 'Indikator-LED/LED indicator', '4X', 'Zigbee koppeln-pairing', 'Die LED leuchtet dauerhaft, wenn der ARtor eine', 'aRtiveVerbindung zum Zigbee-Netzwerk hat.', '4X', 'Touchlink starten-start', 'The LED lights up continuously when the actuator.', '3x', 'Find & Bind starten - start', 'has an active connection to the Zigbee network']"
7030,"['148mm', '142mm', '70mm', '78mm', '240mm', '47mm', '6G55', '5', '360mm', '360mm']"
7031,"['16mm', '14mm', '11mm', '37mm', '37mm', '37mm']"
7032,"['SL', 'BILD OND TON', 'IN NEUER QUALITAT', 'MINI-DISPLAYPORT', 'AUF HDMI KABEL', '4K ULTRA HD 2160P', 'PARADE', 'P58121E CHIP', 'Extrem hochwertige.', 'Bildqualitat mit Unterstutzung', 'fur HD-Videoauflosungen', 'von bis zu 1080p', 'Vergoldete Konnektoren', 'fur eine optimale und.', 'verlustfreie Daten-', 'ubertragung']"
7033,"['IP66WATERPR00F', 'easy deal with any weather condition', '*', '*', 'Kelinvmi 100w IP66']"
7034,"['20cm', '3cm', '31cm']"
7035,"['Herbaria', 'Einfache', 'Zubereitung', 'Tipp:', 'Fur die vegane', 'Variante verwende', 'Wenn du magst,', 'z. B. Hafer- oder', 'kannst du leicht', 'Mandeldrink', 'suBen', '100-', 'MILK', '15Oml']"
7036,"['Powerful Motor For Commuting', '500W High Speed Motor', '725mph', 'Alloy Steel Frame']"
7037,"['MADEIN CHINA', '12VDC 0.30A 3.60W', 'DF1202512RFM', 'Rifle Bearing']"
7038,"['einfache Montage', 'geeignet fur alle Matratzentypen', 'verstellbares Kopfteil', 'stabilisierender Mittelgurt', '28Federleisten', 'flexible Leistenlagerung', 'Schulter-und Becken-', 'absenkung', 'individuelle Hartegradregulierung', 'FSC', 'im mittleren Liegebereich zur', 'www.fsc.org', 'Anpassung an das Gewicht', 'MIX', 'Holz aus ver-', 'bebilderte Montageanleitung', 'Quellen', 'ollen', 'FSCC010392', '7-Zonen-Lattenrost', '90 x 200 cm']"
7039,"['HANDMADE', 'GREENDOOR', 'Naturkosmetik', 'FeinesMilchbad', 'Rosenblute & Honig']"
7040,"['WEIGHT:2960', '8CM/3.15IN', '15CM/5.91IN', '14.5CM/5.71IN', 'THICKNESS:3.8CM/1.50IN']"
7041,"['ASIC', 'COLLECTION', 'BASICCOLLECTION', 'CM', 'PHOTOLiNI', '30X30CM']"
7042,"['2-in-1 Metal Material Lighter Pipe Combo', 'Rotatable']"
7043,"['DIMENSIONS', '/ 3 INCH', '7.62CM', '17 INCH | 43.18 CM']"
7044,"['PANAX GINSENG SUPPLEMENT', 'SINCETES', 'RED', 'KOREAN REDGINSENG', 'PURE EXTRACT', 'EARTH', '100% PURE EXTRACT OF KOREAN RED GINSENG ROOTS', 'YEARS GROWN', 'Korean Red Ginseng', 'Net Contents:450 mL 15.2FL0Z', 'KOREA GINSENG CORP', '5x90mL (3 FL 0Z)Pouches']"
7045,"['25mm', '16mm', '160mm180mm', '4mm', '76mm', '37mm']"
7046,['Hi-Fi20w']
7047,"['30', 'RAVI', 'TECHNOLOGY OF JAPAN', 'RAVI', 'RV-4949', 'AMPS:2.5-3.5A', 'FLOW:6.0LPM', 'AWARNING']"
7048,"['Fast Charging', 'to 60%in30mins', '3X faster Charing Speed with', 'Charger Support 30w', '10', '30W', '60% full', '55% full', '18% full', 'iPhone 13', 'iPhone 13 Pro Max', 'iPhone13', '50', 'i', '60%Charged', '55%Charged', '18%Charged', 'KUULAA MFIPD Cable', 'KUULAA MFI PD Cable', 'Ordinary 1A cable']"
7049,"['Queen Size Bed', '13cm', 'Easy Assembly', '97cm', '500kg', '59cm', '38cm', '212cm', '155cm']"
7050,"['ROHS', 'Overall Length:4814.64m', 'Bulb Wa ageeach):2W', 'Bulbs Included:15', 'Lumens:110-130LM', 'Volts:220v~240v', 'Color temperature:2700K', 'Usefytime:80000-100000H', 'Waterproof rating:IP65']"
7051,"['44cm/17.3in', '67.1cm/26.4in']"
7052,"['DETAILLAGE', 'Support en metal Douille E27Base en bois']"
7053,"['Overall Length: 5-7/8inch /146mm', '1 inch', 'Hole Centers: 5inch /128mm', '12pcsXScrews (1.1in/25mm)', '12pcsXScrews (1.6in/40mm)', 'Golden Copper Handles Weight:85gx6pcs', 'With two screw sizes, sufficient length', 'WANLIAN-MOU']"
7054,"['#1000', '75mm', '5m', '#5.8']"
7055,"['SunMER', 'KG', 'EACH CHAIR WEIGHS 4KG', 'HEIGHT 95CM', 'DEPTH 47CM', 'WIDTH 58CM']"
7056,"['9.5cm', '12', '11', '10', '2', '9.5cm', '9', '3', '.8', 'I', '4.', '7', '5']"
7057,"['HOW TO USSE', 'Take 1 bag of product', 'pour it into a cup', 'Pour about 30 ml of', 'boiling water', 'Thaw,add ice if you', 'want and enjoy']"
7058,"['HOW T0 BREW H0T TEA', 'Add 1.5 tsp of tea', 'Pour hot water', 'Steep your tea for the', 'for every 8 oz of hot water to', 'over your tea leaves', 'correct time below', 'your loose leaf tea infuser', 'Herbal Tea', '208F3-5 min', 'Rooibos Tea 208F5-7 min', 'HOW TO BREW ICED TEA', '..', 'Add 1 Tbsp of tea', 'Pour hot water', 'Steep your tea for the', 'for every 8 oz of hot water to', 'over your tea leaves', 'correct time above and', 'your loose leaf tea infuser', 'pour it over ice!']"
7059,"['16.9oZ.', 'MADEIN', 'USA', ""8'"", 'HIP.HIPPO.', 'HOORAY', ""You're doino"", 'agreatjop!', 'Keep up the', 'great work!']"
7060,"['36V 10.4AH', '4-5 HOURS', 'BMS', 'LITHIUM-IONBATTERY', 'PER CHARGE', 'POWER SAVING', 'Step:1', 'Press the folding buckle under the seat', 'Step:2', '202', 'Turn the key to the ""UNLOCKposition', 'Step:3', 'OOL', 'Lift the battery up', 'ROMOVEABLE', 'LITHIOM-ION', 'BATTERY', 'THROTTLEMODE:', 'PAS MODE', '22 MILES', '22-40 MILES']"
7061,"['4.33""', 'for', 'Protected', '4.05""', 'Smart USB 4.2A total', '1.65""']"
